objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Witch Trial","1203","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860288","5.6484","6.22901","1.6957","7468","1347","thing","Witch Trial","3","7","45","45","45","2001","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Witcher: Old World","331106","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401296","7.1714","7.89796","2.8797","324","17236","thing","The Witcher: Old World","1","5","150","150","90","2023","1,2,3","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Witcher: Old World – Adventure Pack","340968","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401309","6.02729","8.69156","2.2","0","3945","thing","The Witcher: Old World – Adventure Pack","1","5","150","150","90","2023","1,2,3,4","3,4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Ciri","342705","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401318","5.83959","8.45853","3","0","2935","thing","The Witcher: Old World – Ciri","1","5","150","150","90","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Exclusive Monster Pack","364789","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401302","5.70927","8.23004","3","0","2220","thing","The Witcher: Old World – Exclusive Monster Pack","1","5","150","150","90","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Kickstarter Expansion","369048","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401299","6.09362","8.65379","3.1667","0","4178","thing","The Witcher: Old World – Kickstarter Expansion","1","5","150","150","90","2023","1,2,3","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Legendary Hunt","340526","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401314","6.08483","8.44051","2.8333","0","5206","thing","The Witcher: Old World – Legendary Hunt","1","5","150","150","90","2023","1,2,3,4","2,3","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Lost Mount","342212","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401323","5.69182","7.48563","1.75","0","2841","thing","The Witcher: Old World – Lost Mount","1","5","150","150","90","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Mages","340523","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401325","5.90145","8.13928","2.6667","0","4442","thing","The Witcher: Old World – Mages","1","5","150","150","90","2023","2,3,4,5","3","16+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Monster Trail","341023","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401307","6.15791","8.78344","3.2857","0","4352","thing","The Witcher: Old World – Monster Trail","1","5","150","150","90","2023","1,2,3","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Skellige","340529","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401311","5.93981","8.15371","2.3571","0","4518","thing","The Witcher: Old World – Skellige","1","5","150","150","90","2023","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Witcher: Old World – Wild Hunt","340983","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107401308","5.89586","8.3207","3.2","0","4090","thing","The Witcher: Old World – Wild Hunt","1","5","150","150","90","2023","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Zombies!!!","2471","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877926","5.60808","5.79358","1.6113","8917","25312","thing","Zombies!!!","2","6","90","90","60","2001","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombies!!! 2: Zombie Corps(e)","3651","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877933","5.71433","6.02011","1.619","0","6651","thing","Zombies!!! 2: Zombie Corps(e)","2","6","120","120","60","2002","2,3,4,5,6","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Zooloretto","27588","6","0","1","1","0","0","0","0","0","0","0","3","","","","","","13519747","6.58805","6.78448","1.8569","1117","20311","thing","Zooloretto","2","5","45","45","45","2007","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
